
# Surface 0 of 1 surfaces

# Curve title: "phi(x,y)"

# Contour 0, label:        2
 0.10101 -7.38855  2 
-0.10101 -7.38855  2 
-0.30303 -7.38296  2 

 6.36364  3.7551  2 
 6.37426  3.73737  2 
 6.48881  3.53535  2 
 6.56566  3.38905  2 
 6.5947  3.33333  2 
 6.69321  3.13131  2 
 6.76768  2.96525  2 
 6.78376  2.92929  2 
 6.86786  2.72727  2 
 6.9444  2.52525  2 
 6.9697  2.45237  2 
 7.01473  2.32323  2 
 7.07864  2.12121  2 
 7.13583  1.91919  2 
 7.17172  1.77684  2 
 7.18693  1.71717  2 
 7.23258  1.51515  2 
 7.2721  1.31313  2 
 7.30564  1.11111  2 
 7.33336  0.909091  2 
 7.35538  0.707071  2 
 7.3718  0.505051  2 
 7.37374  0.469295  2 
 7.38296  0.30303  2 
 7.38855  0.10101  2 
 7.38855 -0.10101  2 
 7.38296 -0.30303  2 
 7.37374 -0.469295  2 
 7.3718 -0.505051  2 
 7.35538 -0.707071  2 
 7.33336 -0.909091  2 
 7.30564 -1.11111  2 
 7.2721 -1.31313  2 
 7.23258 -1.51515  2 
 7.18693 -1.71717  2 
 7.17172 -1.77684  2 
 7.13583 -1.91919  2 
 7.07864 -2.12121  2 
 7.01473 -2.32323  2 
 6.9697 -2.45237  2 
 6.9444 -2.52525  2 
 6.86786 -2.72727  2 
 6.78376 -2.92929  2 
 6.76768 -2.96525  2 
 6.69321 -3.13131  2 
 6.5947 -3.33333  2 
 6.56566 -3.38905  2 
 6.48881 -3.53535  2 
 6.37426 -3.73737  2 
 6.36364 -3.7551  2 
 6.25169 -3.93939  2 
 6.16162 -4.07788  2 
 6.11959 -4.14141  2 
 5.97777 -4.34343  2 
 5.9596 -4.36808  2 
 5.82574 -4.54545  2 
 5.75758 -4.63102  2 
 5.66228 -4.74747  2 
 5.55556 -4.87162  2 
 5.48649 -4.94949  2 
 5.35354 -5.09287  2 
 5.29719 -5.15152  2 
 5.15152 -5.29719  2 
 5.09287 -5.35354  2 
 4.94949 -5.48649  2 
 4.87162 -5.55556  2 
 4.74747 -5.66228  2 
 4.63102 -5.75758  2 
 4.54545 -5.82574  2 
 4.36808 -5.9596  2 
 4.34343 -5.97777  2 
 4.14141 -6.11959  2 
 4.07788 -6.16162  2 
 3.93939 -6.25169  2 
 3.7551 -6.36364  2 
 3.73737 -6.37426  2 
 3.53535 -6.48881  2 
 3.38905 -6.56566  2 
 3.33333 -6.5947  2 
 3.13131 -6.69321  2 
 2.96525 -6.76768  2 
 2.92929 -6.78376  2 
 2.72727 -6.86786  2 
 2.52525 -6.9444  2 
 2.45237 -6.9697  2 
 2.32323 -7.01473  2 
 2.12121 -7.07864  2 
 1.91919 -7.13583  2 
 1.77684 -7.17172  2 
 1.71717 -7.18693  2 
 1.51515 -7.23258  2 
 1.31313 -7.2721  2 
 1.11111 -7.30564  2 
 0.909091 -7.33336  2 
