
# Curve 0 of 1, 131 points
# x y delta_x delta_y type
-10  10  0 -0.7  i
-8  10 -0.153659 -0.682927  i
-6  10 -0.329412 -0.617647  i
-4  10 -0.506897 -0.482759  i
-2  10 -0.646154 -0.269231  i
 0  10 -0.7  0  i
 2  10 -0.646154  0.269231  i
 4  10 -0.506897  0.482759  i
 6  10 -0.329412  0.617647  i
 8  10 -0.153659  0.682927  i
 10  10  0  0.7  i

-10  8  0.153659 -0.682927  i
-8  8  0 -0.7  i
-6  8 -0.196 -0.672  i
-4  8 -0.42 -0.56  i
-2  8 -0.617647 -0.329412  i
 0  8 -0.7  0  i
 2  8 -0.617647  0.329412  i
 4  8 -0.42  0.56  i
 6  8 -0.196  0.672  i
 8  8  0  0.7  i
 10  8  0.153659  0.682927  i

-10  6  0.329412 -0.617647  i
-8  6  0.196 -0.672  i
-6  6  0 -0.7  i
-4  6 -0.269231 -0.646154  i
-2  6 -0.56 -0.42  i
 0  6 -0.7  0  i
 2  6 -0.56  0.42  i
 4  6 -0.269231  0.646154  i
 6  6  0  0.7  i
 8  6  0.196  0.672  i
 10  6  0.329412  0.617647  i

-10  4  0.506897 -0.482759  i
-8  4  0.42 -0.56  i
-6  4  0.269231 -0.646154  i
-4  4  0 -0.7  i
-2  4 -0.42 -0.56  i
 0  4 -0.7  0  i
 2  4 -0.42  0.56  i
 4  4  0  0.7  i
 6  4  0.269231  0.646154  i
 8  4  0.42  0.56  i
 10  4  0.506897  0.482759  i

-10  2  0.646154 -0.269231  i
-8  2  0.617647 -0.329412  i
-6  2  0.56 -0.42  i
-4  2  0.42 -0.56  i
-2  2  0 -0.7  i
 0  2 -0.7  0  i
 2  2  0  0.7  i
 4  2  0.42  0.56  i
 6  2  0.56  0.42  i
 8  2  0.617647  0.329412  i
 10  2  0.646154  0.269231  i

-10  0  0.7  0  i
-8  0  0.7  0  i
-6  0  0.7  0  i
-4  0  0.7  0  i
-2  0  0.7  0  i
 0  0 -8.98847e+307 -8.98847e+307  i
 2  0  0.7  0  i
 4  0  0.7  0  i
 6  0  0.7  0  i
 8  0  0.7  0  i
 10  0  0.7  0  i

-10 -2  0.646154  0.269231  i
-8 -2  0.617647  0.329412  i
-6 -2  0.56  0.42  i
-4 -2  0.42  0.56  i
-2 -2  0  0.7  i
 0 -2 -0.7  0  i
 2 -2  0 -0.7  i
 4 -2  0.42 -0.56  i
 6 -2  0.56 -0.42  i
 8 -2  0.617647 -0.329412  i
 10 -2  0.646154 -0.269231  i

-10 -4  0.506897  0.482759  i
-8 -4  0.42  0.56  i
-6 -4  0.269231  0.646154  i
-4 -4  0  0.7  i
-2 -4 -0.42  0.56  i
 0 -4 -0.7  0  i
 2 -4 -0.42 -0.56  i
 4 -4  0 -0.7  i
 6 -4  0.269231 -0.646154  i
 8 -4  0.42 -0.56  i
 10 -4  0.506897 -0.482759  i

-10 -6  0.329412  0.617647  i
-8 -6  0.196  0.672  i
-6 -6  0  0.7  i
-4 -6 -0.269231  0.646154  i
-2 -6 -0.56  0.42  i
 0 -6 -0.7  0  i
 2 -6 -0.56 -0.42  i
 4 -6 -0.269231 -0.646154  i
 6 -6  0 -0.7  i
 8 -6  0.196 -0.672  i
 10 -6  0.329412 -0.617647  i

-10 -8  0.153659  0.682927  i
-8 -8  0  0.7  i
-6 -8 -0.196  0.672  i
-4 -8 -0.42  0.56  i
-2 -8 -0.617647  0.329412  i
 0 -8 -0.7  0  i
 2 -8 -0.617647 -0.329412  i
 4 -8 -0.42 -0.56  i
 6 -8 -0.196 -0.672  i
 8 -8  0 -0.7  i
 10 -8  0.153659 -0.682927  i

-10 -10  0  0.7  i
-8 -10 -0.153659  0.682927  i
-6 -10 -0.329412  0.617647  i
-4 -10 -0.506897  0.482759  i
-2 -10 -0.646154  0.269231  i
 0 -10 -0.7  0  i
 2 -10 -0.646154 -0.269231  i
 4 -10 -0.506897 -0.482759  i
 6 -10 -0.329412 -0.617647  i
 8 -10 -0.153659 -0.682927  i
 10 -10  0 -0.7  i

