
# Surface 0 of 1 surfaces

# Curve title: "phi(x,y)"

# Contour 0, label:      0.5
-0.252525 -0.128871  0.5 
-0.257519 -0.125628  0.5 
-0.306202 -0.0753769  0.5 
-0.323671 -0.0251256  0.5 
-0.323671  0.0251256  0.5 
-0.306202  0.0753769  0.5 
-0.257519  0.125628  0.5 
-0.252525  0.128871  0.5 
-0.151515  0.160796  0.5 
-0.0842899  0.125628  0.5 
-0.0505051  0.119878  0.5 
-0.025863  0.0753769  0.5 
-0.00999673  0.0251256  0.5 
-0.00999673 -0.0251256  0.5 
-0.025863 -0.0753769  0.5 
-0.0505051 -0.119878  0.5 
-0.0842899 -0.125628  0.5 
-0.151515 -0.160796  0.5 
-0.252525 -0.128871  0.5 


# Contour 1, label:      0.2
-0.454545 -0.394359  0.2 
-0.521504 -0.376884  0.2 
-0.555556 -0.365418  0.2 
-0.625644 -0.326633  0.2 
-0.656566 -0.302007  0.2 
-0.685706 -0.276382  0.2 
-0.727436 -0.226131  0.2 
-0.755093 -0.175879  0.2 
-0.757576 -0.169407  0.2 
-0.77719 -0.125628  0.2 
-0.791247 -0.0753769  0.2 
-0.797964 -0.0251256  0.2 
-0.797964  0.0251256  0.2 
-0.791247  0.0753769  0.2 
-0.77719  0.125628  0.2 
-0.757576  0.169407  0.2 
-0.755093  0.175879  0.2 
-0.727436  0.226131  0.2 
-0.685706  0.276382  0.2 
-0.656566  0.302007  0.2 
-0.625644  0.326633  0.2 
-0.555556  0.365418  0.2 
-0.521504  0.376884  0.2 
-0.454545  0.394359  0.2 
-0.353535  0.396327  0.2 
-0.283417  0.376884  0.2 
-0.252525  0.371027  0.2 
-0.179921  0.326633  0.2 
-0.151515  0.314235  0.2 
-0.120879  0.276382  0.2 
-0.0794014  0.226131  0.2 
-0.0505051  0.198163  0.2 
-0.0420776  0.175879  0.2 
-0.0230382  0.125628  0.2 
-0.0103452  0.0753769  0.2 
-0.00399869  0.0251256  0.2 
-0.00399869 -0.0251256  0.2 
-0.0103452 -0.0753769  0.2 
-0.0230382 -0.125628  0.2 
-0.0420776 -0.175879  0.2 
-0.0505051 -0.198163  0.2 
-0.0794014 -0.226131  0.2 
-0.120879 -0.276382  0.2 
-0.151515 -0.314235  0.2 
-0.179921 -0.326633  0.2 
-0.252525 -0.371027  0.2 
-0.283417 -0.376884  0.2 
-0.353535 -0.396327  0.2 
-0.454545 -0.394359  0.2 


# Contour 2, label:      0.1
-0.858586 -0.79357  0.1 
-0.958599 -0.778894  0.1 
-0.959596 -0.778733  0.1 
-1.06061 -0.750554  0.1 
-1.11487 -0.728643  0.1 
-1.16162 -0.706728  0.1 
-1.21189 -0.678392  0.1 
-1.26263 -0.644374  0.1 
-1.28476 -0.628141  0.1 
-1.34341 -0.577889  0.1 
-1.36364 -0.557248  0.1 
-1.39233 -0.527638  0.1 
-1.43349 -0.477387  0.1 
-1.46465 -0.430988  0.1 
-1.46733 -0.427136  0.1 
-1.49784 -0.376884  0.1 
-1.52285 -0.326633  0.1 
-1.54308 -0.276382  0.1 
-1.55913 -0.226131  0.1 
-1.56566 -0.199875  0.1 
-1.57223 -0.175879  0.1 
-1.58241 -0.125628  0.1 
-1.58907 -0.0753769  0.1 
-1.59236 -0.0251256  0.1 
-1.59236  0.0251256  0.1 
-1.58907  0.0753769  0.1 
-1.58241  0.125628  0.1 
-1.57223  0.175879  0.1 
-1.56566  0.199875  0.1 
-1.55913  0.226131  0.1 
-1.54308  0.276382  0.1 
-1.52285  0.326633  0.1 
-1.49784  0.376884  0.1 
-1.46733  0.427136  0.1 
-1.46465  0.430988  0.1 
-1.43349  0.477387  0.1 
-1.39233  0.527638  0.1 
-1.36364  0.557248  0.1 
-1.34341  0.577889  0.1 
-1.28476  0.628141  0.1 
-1.26263  0.644374  0.1 
-1.21189  0.678392  0.1 
-1.16162  0.706728  0.1 
-1.11487  0.728643  0.1 
-1.06061  0.750554  0.1 
-0.959596  0.778733  0.1 
-0.958599  0.778894  0.1 
-0.858586  0.79357  0.1 
-0.757576  0.795238  0.1 
-0.656566  0.783688  0.1 
-0.639445  0.778894  0.1 
-0.555556  0.759291  0.1 
-0.481264  0.728643  0.1 
-0.454545  0.719406  0.1 
-0.385057  0.678392  0.1 
-0.353535  0.662467  0.1 
-0.312859  0.628141  0.1 
-0.252525  0.581843  0.1 
-0.249354  0.577889  0.1 
-0.205424  0.527638  0.1 
-0.1609  0.477387  0.1 
-0.151515  0.468242  0.1 
-0.127747  0.427136  0.1 
-0.100039  0.376884  0.1 
-0.0742417  0.326633  0.1 
-0.0505051  0.279635  0.1 
-0.049598  0.276382  0.1 
-0.0337318  0.226131  0.1 
-0.0210388  0.175879  0.1 
-0.0115191  0.125628  0.1 
-0.00517259  0.0753769  0.1 
-0.00199935  0.0251256  0.1 
-0.00199935 -0.0251256  0.1 
-0.00517259 -0.0753769  0.1 
-0.0115191 -0.125628  0.1 
-0.0210388 -0.175879  0.1 
-0.0337318 -0.226131  0.1 
-0.049598 -0.276382  0.1 
-0.0505051 -0.279635  0.1 
-0.0742417 -0.326633  0.1 
-0.100039 -0.376884  0.1 
-0.127747 -0.427136  0.1 
-0.151515 -0.468242  0.1 
-0.1609 -0.477387  0.1 
-0.205424 -0.527638  0.1 
-0.249354 -0.577889  0.1 
-0.252525 -0.581843  0.1 
-0.312859 -0.628141  0.1 
-0.353535 -0.662467  0.1 
-0.385057 -0.678392  0.1 
-0.454545 -0.719406  0.1 
-0.481264 -0.728643  0.1 
-0.555556 -0.759291  0.1 
-0.639445 -0.778894  0.1 
-0.656566 -0.783688  0.1 
-0.757576 -0.795238  0.1 
-0.858586 -0.79357  0.1 


# Contour 3, label:     0.05
-1.66667 -1.58986  0.05 
-1.75408 -1.58291  0.05 
-1.76768 -1.58179  0.05 
-1.86869 -1.56735  0.05 
-1.9697 -1.54606  0.05 
-2.01909 -1.53266  0.05 
-2.07071 -1.51778  0.05 
-2.17073 -1.48241  0.05 
-2.17172 -1.48204  0.05 
-2.27273 -1.43843  0.05 
-2.28568 -1.43216  0.05 
-2.37374 -1.38608  0.05 
-2.38108 -1.38191  0.05 
-2.46321 -1.33166  0.05 
-2.47475 -1.32399  0.05 
-2.53573 -1.28141  0.05 
-2.57576 -1.25069  0.05 
-2.60041 -1.23116  0.05 
-2.65879 -1.1809  0.05 
-2.67677 -1.1641  0.05 
-2.71208 -1.13065  0.05 
-2.7605 -1.0804  0.05 
-2.77778 -1.06094  0.05 
-2.80517 -1.03015  0.05 
-2.84619 -0.979899  0.05 
-2.87879 -0.935885  0.05 
-2.88347 -0.929648  0.05 
-2.91869 -0.879397  0.05 
-2.95061 -0.829146  0.05 
-2.97949 -0.778894  0.05 
-2.9798 -0.778315  0.05 
-3.00705 -0.728643  0.05 
-3.03199 -0.678392  0.05 
-3.05447 -0.628141  0.05 
-3.07465 -0.577889  0.05 
-3.08081 -0.560932  0.05 
-3.09341 -0.527638  0.05 
-3.11044 -0.477387  0.05 
-3.12547 -0.427136  0.05 
-3.1386 -0.376884  0.05 
-3.14991 -0.326633  0.05 
-3.15947 -0.276382  0.05 
-3.16735 -0.226131  0.05 
-3.1736 -0.175879  0.05 
-3.17825 -0.125628  0.05 
-3.18133 -0.0753769  0.05 
-3.18182 -0.0593948  0.05 
-3.18293 -0.0251256  0.05 
-3.18293  0.0251256  0.05 
-3.18182  0.0593948  0.05 
-3.18133  0.0753769  0.05 
-3.17825  0.125628  0.05 
-3.1736  0.175879  0.05 
-3.16735  0.226131  0.05 
-3.15947  0.276382  0.05 
-3.14991  0.326633  0.05 
-3.1386  0.376884  0.05 
-3.12547  0.427136  0.05 
-3.11044  0.477387  0.05 
-3.09341  0.527638  0.05 
-3.08081  0.560932  0.05 
-3.07465  0.577889  0.05 
-3.05447  0.628141  0.05 
-3.03199  0.678392  0.05 
-3.00705  0.728643  0.05 
-2.9798  0.778315  0.05 
-2.97949  0.778894  0.05 
-2.95061  0.829146  0.05 
-2.91869  0.879397  0.05 
-2.88347  0.929648  0.05 
-2.87879  0.935885  0.05 
-2.84619  0.979899  0.05 
-2.80517  1.03015  0.05 
-2.77778  1.06094  0.05 
-2.7605  1.0804  0.05 
-2.71208  1.13065  0.05 
-2.67677  1.1641  0.05 
-2.65879  1.1809  0.05 
-2.60041  1.23116  0.05 
-2.57576  1.25069  0.05 
-2.53573  1.28141  0.05 
-2.47475  1.32399  0.05 
-2.46321  1.33166  0.05 
-2.38108  1.38191  0.05 
-2.37374  1.38608  0.05 
-2.28568  1.43216  0.05 
-2.27273  1.43843  0.05 
-2.17172  1.48204  0.05 
-2.17073  1.48241  0.05 
-2.07071  1.51778  0.05 
-2.01909  1.53266  0.05 
-1.9697  1.54606  0.05 
-1.86869  1.56735  0.05 
-1.76768  1.58179  0.05 
-1.75408  1.58291  0.05 
-1.66667  1.58986  0.05 
-1.56566  1.59145  0.05 
-1.46465  1.58654  0.05 
-1.43415  1.58291  0.05 
-1.36364  1.57528  0.05 
-1.26263  1.55748  0.05 
-1.16284  1.53266  0.05 
-1.16162  1.53239  0.05 
-1.06061  1.5007  0.05 
-1.01611  1.48241  0.05 
-0.959596  1.46109  0.05 
-0.900651  1.43216  0.05 
-0.858586  1.41313  0.05 
-0.805224  1.38191  0.05 
-0.757576  1.35603  0.05 
-0.722728  1.33166  0.05 
-0.656566  1.2882  0.05 
-0.64849  1.28141  0.05 
-0.585312  1.23116  0.05 
-0.555556  1.2088  0.05 
-0.526833  1.1809  0.05 
-0.473075  1.13065  0.05 
-0.454545  1.11428  0.05 
-0.42511  1.0804  0.05 
-0.380454  1.03015  0.05 
-0.353535  1.00095  0.05 
-0.338706  0.979899  0.05 
-0.302333  0.929648  0.05 
-0.266262  0.879397  0.05 
-0.252525  0.861184  0.05 
-0.234456  0.829146  0.05 
-0.206114  0.778894  0.05 
-0.178664  0.728643  0.05 
-0.15186  0.678392  0.05 
-0.151515  0.677806  0.05 
-0.13063  0.628141  0.05 
-0.110896  0.577889  0.05 
-0.0925327  0.527638  0.05 
-0.0754403  0.477387  0.05 
-0.0594513  0.427136  0.05 
-0.0505051  0.400027  0.05 
-0.0454251  0.376884  0.05 
-0.0343188  0.326633  0.05 
-0.024799  0.276382  0.05 
-0.0168659  0.226131  0.05 
-0.0105194  0.175879  0.05 
-0.00575954  0.125628  0.05 
-0.0025863  0.0753769  0.05 
-0.000999673  0.0251256  0.05 
-0.000999673 -0.0251256  0.05 
-0.0025863 -0.0753769  0.05 
-0.00575954 -0.125628  0.05 
-0.0105194 -0.175879  0.05 
-0.0168659 -0.226131  0.05 
-0.024799 -0.276382  0.05 
-0.0343188 -0.326633  0.05 
-0.0454251 -0.376884  0.05 
-0.0505051 -0.400027  0.05 
-0.0594513 -0.427136  0.05 
-0.0754403 -0.477387  0.05 
-0.0925327 -0.527638  0.05 
-0.110896 -0.577889  0.05 
-0.13063 -0.628141  0.05 
-0.151515 -0.677806  0.05 
-0.15186 -0.678392  0.05 
-0.178664 -0.728643  0.05 
-0.206114 -0.778894  0.05 
-0.234456 -0.829146  0.05 
-0.252525 -0.861184  0.05 
-0.266262 -0.879397  0.05 
-0.302333 -0.929648  0.05 
-0.338706 -0.979899  0.05 
-0.353535 -1.00095  0.05 
-0.380454 -1.03015  0.05 
-0.42511 -1.0804  0.05 
-0.454545 -1.11428  0.05 
-0.473075 -1.13065  0.05 
-0.526833 -1.1809  0.05 
-0.555556 -1.2088  0.05 
-0.585312 -1.23116  0.05 
-0.64849 -1.28141  0.05 
-0.656566 -1.2882  0.05 
-0.722728 -1.33166  0.05 
-0.757576 -1.35603  0.05 
-0.805224 -1.38191  0.05 
-0.858586 -1.41313  0.05 
-0.900651 -1.43216  0.05 
-0.959596 -1.46109  0.05 
-1.01611 -1.48241  0.05 
-1.06061 -1.5007  0.05 
-1.16162 -1.53239  0.05 
-1.16284 -1.53266  0.05 
-1.26263 -1.55748  0.05 
-1.36364 -1.57528  0.05 
-1.43415 -1.58291  0.05 
