t	L_x
1 450	9,93583
1 460	9,93629
1 470	9,93844
1 480	9,94026
1 490	9,94051
1 500	9,93848
1 510	9,94026
1 520	9,93867
1 530	9,9358
1 540	9,93718
1 550	9,94337
1 560	9,94029
1 570	9,93858
1 580	9,93828
1 590	9,93862
1 600	9,93669
1 610	9,93911
1 620	9,93998
1 630	9,94134
1 640	9,94019
1 650	9,93602
1 660	9,93698
1 670	9,9404
1 680	9,93887
1 690	9,93879
1 700	9,94168
1 710	9,94017
1 720	9,93661
1 730	9,93638
1 740	9,93886
1 750	9,94061
1 760	9,9409
1 770	9,93813
1 780	9,93996
1 790	9,93924
1 800	9,93636
1 810	9,93753
1 820	9,9424
1 830	9,94179
1 840	9,93832
1 850	9,93718
1 860	9,93753
1 870	9,93967
1 880	9,93942
1 890	9,93879
1 900	9,94146
1 910	9,94062
1 920	9,93633
1 930	9,93737
1 940	9,94074
1 950	9,93908
1 960	9,93905
1 970	9,94147
1 980	9,93949
1 990	9,93704
2 000	9,93747
2 010	9,93901
2 020	9,94255
2 030	9,94025
2 040	9,93748
2 050	9,93881
2 060	9,94077
2 070	9,93604
2 080	9,93778
2 090	9,94254
2 100	9,94249
2 110	9,93781
2 120	9,93669
2 130	9,93874
2 140	9,94145
2 150	9,93925
2 160	9,93712
2 170	9,94128
2 180	9,94272
2 190	9,93625
2 200	9,93541
2 210	9,94149
2 220	9,94104
2 230	9,93978
2 240	9,93866
2 250	9,93967
2 260	9,93885
2 270	9,93912
2 280	9,93729
2 290	9,94218
2 300	9,94143
2 310	9,93752
2 320	9,93788
2 330	9,94148
2 340	9,93815
2 350	9,93761
2 360	9,94086
2 370	9,94293
2 380	9,93989
2 390	9,93659
2 400	9,93721
2 410	9,94205
2 420	9,94066
2 430	9,93624
2 440	9,94073
2 450	9,94298
2 460	9,93812
2 470	9,93565
2 480	9,94063
2 490	9,94183
2 500	9,94107
2 510	9,93793
2 520	9,93795
2 530	9,94128
2 540	9,94019
2 550	9,93608
2 560	9,93989
2 570	9,94395
2 580	9,94022
2 590	9,93723
2 600	9,93932
2 610	9,93925
2 620	9,93964
2 630	9,94023
2 640	9,93995
2 650	9,94096
2 660	9,9396
2 670	9,93645
2 680	9,93917
2 690	9,94151
2 700	9,9394
2 710	9,93967
2 720	9,9426
2 730	9,9386
2 740	9,93653
2 750	9,93865
2 760	9,94228
2 770	9,94192
2 780	9,93957
2 790	9,93628
2 800	9,94019
2 810	9,941
2 820	9,93724
2 830	9,93883
2 840	9,94398
2 850	9,94137
2 860	9,93714
2 870	9,93736
2 880	9,93958
2 890	9,94185
2 900	9,93981
2 910	9,9385
2 920	9,94109
2 930	9,94139
2 940	9,9357
2 950	9,93829
2 960	9,94211
2 970	9,94225
2 980	9,93931
2 990	9,94002
3 000	9,93839
3 010	9,93933
3 020	9,93786
3 030	9,93944
3 040	9,94294
3 050	9,94232
3 060	9,9362
3 070	9,93834
3 080	9,94128
3 090	9,94005
3 100	9,93945
3 110	9,94176
3 120	9,9413
3 130	9,9385
3 140	9,93659
3 150	9,93822
3 160	9,94349
3 170	9,94142
3 180	9,9384
3 190	9,94039
3 200	9,94165
3 210	9,93675
3 220	9,93717
3 230	9,94144
3 240	9,94324
3 250	9,94065
3 260	9,93709
3 270	9,93772
3 280	9,94202
3 290	9,9403
